[10:09:06] 🚀 SCRIPT STARTED
[10:09:06] [1/459] NECA
[10:09:06] 🧠 New identity created
[10:09:07] [2/459] BJLC
[10:09:09] [3/459] BASU
[10:09:09] [4/459] RUPI
[10:09:10] [5/459] LCBK
[10:09:11] [6/459] PMAC
[10:09:12] [7/459] AMLC
[10:09:13] [8/459] LICL
[10:09:14] [9/459] UDMM
[10:09:14] [10/459] STBZ
[10:09:16] [11/459] UUBT
[10:09:17] [12/459] SJKC
[10:09:17] [13/459] TUAL
[10:09:19] [14/459] MRSE
[10:09:20] [15/459] RMRK
[10:09:20] [16/459] TTKP
[10:09:21] [17/459] KTKO
[10:09:22] [18/459] SDBK
[10:09:23] [19/459] MCPR
[10:09:24] [20/459] CHTI
[10:09:24] [21/459] GCCP
[10:09:25] [22/459] SRMY
[10:09:26] [23/459] NYST
[10:09:27] [24/459] NYAG
[10:09:27] [25/459] SBMT
[10:09:28] [26/459] INGA
[10:09:29] [27/459] WSIC
[10:09:30] [28/459] SCSS
[10:09:31] [29/459] COPG
[10:09:31] [30/459] RCGR
[10:09:32] [31/459] TCZA
[10:09:33] [32/459] CNLP
[10:09:34] [33/459] CLKN
[10:09:35] [34/459] LHDF
[10:09:35] [35/459] ELKC
[10:09:36] [36/459] VCEM
[10:09:38] [37/459] SSZA
[10:09:38] [38/459] KRMT
[10:09:39] [39/459] LCMV
[10:09:40] [40/459] AYCZ
[10:09:41] [41/459] CUMS
[10:09:42] [42/459] BOCK
[10:09:43] [43/459] PNMR
[10:09:43] [44/459] PJCP
[10:09:44] [45/459] JDDD
[10:09:45] [46/459] STMS
[10:09:46] [47/459] FLMB
[10:09:46] [48/459] PKCM
[10:09:48] [49/459] SPPR
[10:09:49] [50/459] EYLH
[10:09:50] [51/459] RJCC
[10:09:51] [52/459] MMPS
[10:09:51] [53/459] SHMX
[10:09:52] [54/459] CCNL
[10:09:53] [55/459] RCNV
[10:09:54] [56/459] MAAG
[10:09:55] [57/459] LXCM
[10:09:55] [58/459] RCNI
[10:09:56] [59/459] SNNI
[10:09:57] [60/459] LALC
[10:09:58] [61/459] SOCN
[10:09:59] [62/459] JHTP
[10:10:00] [63/459] PITP
[10:10:02] [64/459] CCKW
[10:10:03] [65/459] MCMC
[10:10:03] [66/459] DEES
[10:10:04] [67/459] SABT
[10:10:05] [68/459] VSPP
[10:10:06] [69/459] ABCT
[10:10:07] [70/459] JVTB
[10:10:08] [71/459] VCBD
[10:10:09] [72/459] RMGG
[10:10:10] [73/459] RNMH
[10:10:10] [74/459] SPGL
[10:10:11] [75/459] JTTR
[10:10:12] [76/459] SICS
[10:10:13] [77/459] SRMI
[10:10:14] [78/459] SSIJ
[10:10:15] [79/459] KFMT
[10:10:15] [80/459] VBIT
[10:10:16] [81/459] JKCT
[10:10:17] [82/459] GCGP
[10:10:18] [83/459] GDCS
[10:10:18] [84/459] TRBA
[10:10:19] [85/459] QUST
[10:10:20] [86/459] VSHM
[10:10:21] [87/459] SDCP
[10:10:22] [88/459] SNVS
[10:10:22] [89/459] NYTO
[10:10:23] [90/459] URWC
[10:10:24] [91/459] GTWH
[10:10:25] [92/459] PFCM
[10:10:26] [93/459] KRTA
[10:10:27] [94/459] AXMC
[10:10:28] [95/459] EVMC
[10:10:29] [96/459] HGSM
[10:10:30] [97/459] ACVM
[10:10:31] [98/459] PSKL
[10:10:32] [99/459] RDMP
[10:10:33] [100/459] RHGH
[10:10:34] [101/459] OMCM
